a	a	art_def
abjuraram	abjurar	ver
abjurarem	abjurar	ver
abjurasse	abjurar	ver
abjuração	abjuração	nom
abjurações	abjuração	nom
abjure	abjurar	ver
abjurou	abjurar	ver
ablaut	ablaut	nom
ablação	ablação	nom
ablações	ablação	nom
ablegado	ablegar	ver
abluir	abluir	ver
ablução	ablução	nom
abluções	ablução	nom
abnegada	abnegado	adj
abnegadas	abnegado	adj
abnegado	abnegado	adj
abnegados	abnegado	adj
abnegação	abnegação	nom
abner	abner	nom
abnormal	abnormal	adj
abnormalidades	abnormalidade	nom
abo	abar	ver
aboa	aboar	ver
aboba	abobar	ver
abobada	abobado	adj
abobadada	abobadado	adj
abobadadas	abobadado	adj
abobadado	abobadado	adj
abobadados	abobadado	adj
abobadas	abobado	adj
abobado	abobado	adj
abobados	abobado	adj
abobalhada	abobalhado	adj
abobalhado	abobalhado	adj
abobalhados	abobalhado	adj
abobe	abobar	ver
abobo	abobar	ver
abobora	aboborar	ver
aboborado	aboborar	ver
aboboras	aboborar	ver
aboboreira	aboboreira	nom
abobra	abobra	nom
abobreira	abobreira	nom
abobreiras	abobreira	nom
abobrinha	abobra	nom
abobrinhas	abobra	nom
aboca	abocar	ver
abocada	abocar	ver
abocadas	abocar	ver
abocado	abocar	ver
abocanha	abocanhar	ver
abocanhada	abocanhar	ver
abocanhado	abocanhar	ver
abocanham	abocanhar	ver
abocanhamento	abocanhamento	nom
abocanhando	abocanhar	ver
abocanhar	abocanhar	ver
abocanhava	abocanhar	ver
abocanhe	abocanhar	ver
abocanhou	abocanhar	ver
aboe	aboar	ver
aboiando	aboiar	ver
aboio	aboio	nom
aboios	aboio	nom
abola	abolar	ver
abole	abolir	ver
abolem	abolar	ver
aboli	abolir	ver
abolia	abolir	ver
aboliam	abolir	ver
abolicionismo	abolicionismo	nom
abolicionista	abolicionista	adj
abolicionistas	abolicionista	nom
abolida	abolir	ver
abolidas	abolir	ver
abolido	abolir	ver
abolidos	abolir	ver
abolimos	abolir	ver
abolindo	abolir	ver
abolir	abolir	ver
abolira	abolir	ver
aboliram	abolir	ver
abolirei	abolir	ver
abolirem	abolir	ver
aboliria	abolir	ver
abolirmos	abolir	ver
abolirá	abolir	ver
abolirão	abolir	ver
abolisse	abolir	ver
abolissem	abolir	ver
aboliu	abolir	ver
abolição	abolição	nom
abomba	abombar	ver
abomina	abominar	ver
abominada	abominar	ver
abominado	abominar	ver
abominados	abominar	ver
abominam	abominar	ver
abominamos	abominar	ver
abominando	abominar	ver
abominar	abominar	ver
abominarem	abominar	ver
abominava	abominar	ver
abominavam	abominar	ver
abominação	abominação	nom
abominações	abominação	nom
abomine	abominar	ver
abominei	abominar	ver
abomino	abominar	ver
abominou	abominar	ver
abomináveis	abominável	adj
abominável	abominável	adj
abona	abonar	ver
abonada	abonado	adj
abonadas	abonado	adj
abonado	abonar	ver
abonador	abonador	adj
abonadora	abonador	adj
abonados	abonado	adj
abonam	abonar	ver
abonar	abonar	ver
abonatória	abonatório	adj
abonatórias	abonatório	adj
abonações	abonação	nom
abondo	abondar	ver
abone	abonar	ver
abonem	abonar	ver
abono	abono	nom
abonos	abono	nom
abonou	abonar	ver
aboral	aboral	adj
aborda	abordar	ver
abordada	abordar	ver
abordadas	abordar	ver
abordado	abordar	ver
abordados	abordar	ver
abordagem	abordagem	nom
