a	a	art_def
imolavam	imolar	ver
imolação	imolação	nom
imolações	imolação	nom
imole	imolar	ver
imolou	imolar	ver
imorais	imoral	adj
imoral	imoral	adj
imoralidade	imoralidade	nom
imoralidades	imoralidade	nom
imorredoura	imorredouro	adj
imorredouras	imorredouro	adj
imorredouro	imorredouro	adj
imortais	imortal	adj
imortal	imortal	adj
imortalidade	imortalidade	nom
imortaliza	imortalizar	ver
imortalizada	imortalizar	ver
imortalizadas	imortalizar	ver
imortalizado	imortalizar	ver
imortalizados	imortalizar	ver
imortalizam	imortalizar	ver
imortalizando	imortalizar	ver
imortalizar	imortalizar	ver
imortalizaram	imortalizar	ver
imortalizaria	imortalizar	ver
imortalizariam	imortalizar	ver
imortalizava	imortalizar	ver
imortalizou	imortalizar	ver
imortalmente	imortalmente	adv
imos	ir	ver_sup
imotivada	imotivado	adj
imotivadamente	imotivadamente	adv
imotivados	imotivado	adj
impa	impar	ver
impacienta	impacientar	ver
impacientaram	impacientar	ver
impacientava	impacientar	ver
impaciente	impaciente	adj
impacientemente	impacientemente	adv
impacientes	impaciente	adj
impacientou	impacientar	ver
impaciência	impaciência	nom
impaciências	impaciência	nom
impacta	impactar	ver
impactada	impactar	ver
impactadas	impactar	ver
impactado	impactar	ver
impactados	impactar	ver
impactam	impactar	ver
impactando	impactar	ver
impactar	impactar	ver
impactara	impactar	ver
impactaram	impactar	ver
impactarem	impactar	ver
impactaria	impactar	ver
impactariam	impactar	ver
impactassem	impactar	ver
impactava	impactar	ver
impactavam	impactar	ver
impacte	impacto	nom
impactem	impactar	ver
impactes	impacto	nom
impacto	impacto	nom
impactos	impacto	nom
impactou	impactar	ver
impagáveis	impagável	adj
impagável	impagável	adj
impalpáveis	impalpável	adj
impalpável	impalpável	adj
impaludismo	impaludismo	nom
impar	impar	ver
impara	impar	ver
imparciais	imparcial	adj
imparcial	imparcial	adj
imparcialidade	imparcialidade	nom
imparcialidades	imparcialidade	nom
imparcializa	imparcializar	ver
imparcializado	imparcializar	ver
imparcializados	imparcializar	ver
imparcializando	imparcializar	ver
imparcializar	imparcializar	ver
imparcializei	imparcializar	ver
imparcialmente	imparcialmente	adv
impares	impar	ver
imparidade	imparidade	nom
imparáveis	imparável	adj
imparável	imparável	adj
impas	impar	ver
impasse	impasse	nom
impasses	impasse	nom
impassibilidade	impassibilidade	nom
impassivelmente	impassivelmente	adv
impassíveis	impassível	adj
impassível	impassível	adj
impe	impar	ver
impeachment	impeachment	nom
impecabilidade	impecabilidade	nom
impecavelmente	impecavelmente	adv
impecáveis	impecável	adj
impecável	impecável	adj
impede	impedir	ver
impedem	impedir	ver
impedes	impedir	ver
impedi	impedir	ver
impedia	impedir	ver
impediam	impedir	ver
impedida	impedir	ver
impedidas	impedir	ver
impedido	impedir	ver
impedidos	impedir	ver
impediente	impediente	adj
impedientes	impediente	adj
impedimento	impedimento	nom
impedimentos	impedimento	nom
impedimos	impedir	ver
impedindo	impedir	ver
impedir	impedir	ver
impedira	impedir	ver
impediram	impedir	ver
impedirei	impedir	ver
impedirem	impedir	ver
impediria	impedir	ver
impediriam	impedir	ver
impedirmos	impedir	ver
impedirá	impedir	ver
impedirão	impedir	ver
impedisse	impedir	ver
impedissem	impedir	ver
impeditiva	impeditivo	adj
impeditivas	impeditivo	adj
impeditivo	impeditivo	adj
impeditivos	impeditivo	adj
impediu	impedir	ver
impedância	impedância	nom
impedâncias	impedância	nom
impele	impelir	ver
impelem	impelir	ver
impeli	impelir	ver
impelia	impelir	ver
impeliam	impelir	ver
impelida	impelir	ver
impelidas	impelir	ver
impelido	impelir	ver
impelidos	impelir	ver
impelindo	impelir	ver
impelir	impelir	ver
impeliram	impelir	ver
impeliu	impelir	ver
impendam	impender	ver
impende	impender	ver
impendem	impender	ver
impenetrabilidade	impenetrabilidade	nom
impenetráveis	impenetrável	adj
impenetrável	impenetrável	adj
impenhorabilidade	impenhorabilidade	nom
impenhoráveis	impenhorável	adj
impenhorável	impenhorável	adj
impenitente	impenitente	adj
impenitentes	impenitente	adj
impenitência	impenitência	nom
impensada	impensado	adj
impensadamente	impensadamente	adv
impensadas	impensado	adj
impensado	impensado	adj
impensados	impensado	adj
impensáveis	impensável	adj
impensável	impensável	adj
impera	imperar	ver
imperado	imperar	ver
imperador	imperador	nom
imperadora	imperador	adj
imperadoras	imperador	adj
imperadores	imperador	nom
imperados	imperar	ver
imperais	imperar	ver
imperam	imperar	ver
imperando	imperar	ver
imperante	imperante	adj
imperar	imperar	ver
imperaram	imperar	ver
imperará	imperar	ver
imperasse	imperar	ver
imperativa	imperativo	adj
imperativamente	imperativamente	adv
imperativas	imperativo	adj
imperativo	imperativo	nom
imperativos	imperativo	nom
imperatriz	imperador	nom
imperatrizes	imperador	nom
imperava	imperar	ver
imperavam	imperar	ver
imperceptivelmente	imperceptivelmente	adv
imperceptíveis	imperceptível	adj
imperceptível	imperceptível	adj
imperdoáveis	imperdoável	adj
imperdoável	imperdoável	adj
imperdíveis	imperdível	adj
imperdível	imperdível	adj
impere	imperar	ver
imperecíveis	imperecível	adj
imperecível	imperecível	adj
imperfeita	imperfeito	adj
imperfeitamente	imperfeitamente	adv
imperfeitas	imperfeito	adj
imperfeito	imperfeito	adj
imperfeitos	imperfeito	adj
imperfeição	imperfeição	nom
imperfeições	imperfeição	nom
imperiais	imperial	adj
imperial	imperial	adj
imperialismo	imperialismo	nom
imperialismos	imperialismo	nom
imperialista	imperialista	adj
imperialistas	imperialista	adj
imperializem	imperializar	ver
imperiosa	imperioso	adj
imperiosamente	imperiosamente	adv
imperiosidade	imperiosidade	nom
imperioso	imperioso	adj
imperiosos	imperioso	adj
imperitas	imperito	adj
impermeabilidade	impermeabilidade	nom
impermeabiliza	impermeabilizar	ver
impermeabilizada	impermeabilizar	ver
impermeabilizadas	impermeabilizar	ver
impermeabilizado	impermeabilizar	ver
impermeabilizados	impermeabilizar	ver
impermeabilizando	impermeabilizar	ver
impermeabilizante	impermeabilizante	adj
impermeabilizantes	impermeabilizante	adj
impermeabilizar	impermeabilizar	ver
impermeabilização	impermeabilização	nom
impermeabilizações	impermeabilização	nom
impermeáveis	impermeável	adj
impermeável	impermeável	adj
impero	imperar	ver
imperou	imperar	ver
impertinente	impertinente	adj
impertinentes	impertinente	adj
impertinência	impertinência	nom
impertinências	impertinência	nom
imperturbabilidade	imperturbabilidade	nom
imperturbáveis	imperturbável	adj
imperturbável	imperturbável	adj
imperícia	imperícia	nom
impes	impar	ver
impessoais	impessoal	adj
impessoal	impessoal	adj
impessoalidade	impessoalidade	nom
impessoalmente	impessoalmente	adv
impetigo	impetigo	nom
impeto	impetar	ver
impetrada	impetrar	ver
impetradas	impetrar	ver
impetrado	impetrar	ver
impetrados	impetrar	ver
impetrai	impetrar	ver
impetram	impetrar	ver
impetrando	impetrar	ver
impetrante	impetrante	nom
impetrar	impetrar	ver
impetrara	impetrar	ver
impetraram	impetrar	ver
impetração	impetração	nom
impetrou	impetrar	ver
impetuosa	impetuoso	adj
impetuosamente	impetuosamente	adv
impetuosas	impetuoso	adj
impetuosidade	impetuosidade	nom
impetuosidades	impetuosidade	nom
impetuoso	impetuoso	adj
impetuosos	impetuoso	adj
impeça	impedir	ver
impeçais	impedir	ver
impeçam	impedir	ver
impeço	impedir	ver
impiedade	impiedade	nom
impiedades	impiedade	nom
impiedosa	impiedoso	adj
impiedosamente	impiedosamente	adv
impiedosas	impiedoso	adj
impiedoso	impiedoso	adj
impiedosos	impiedoso	adj
impigens	impigem	nom
impinge	impingir	ver
impingem	impingir	ver
impinges	impingir	ver
impingia	impingir	ver
impingida	impingir	ver
impingidas	impingir	ver
impingido	impingir	ver
impingidos	impingir	ver
impingindo	impingir	ver
impingir	impingir	ver
impingiram	impingir	ver
impingiu	impingir	ver
implacabilidade	implacabilidade	nom
implacavelmente	implacavelmente	adv
implacáveis	implacável	adj
implacável	implacável	adj
implanta	implantar	ver
implantada	implantar	ver
implantadas	implantar	ver
implantado	implantar	ver
implantados	implantar	ver
implantam	implantar	ver
implantando	implantar	ver
implantar	implantar	ver
implantara	implantar	ver
implantaram	implantar	ver
implantarem	implantar	ver
implantaria	implantar	ver
implantariam	implantar	ver
implantarmos	implantar	ver
implantará	implantar	ver
implantasse	implantar	ver
implantassem	implantar	ver
implantava	implantar	ver
implantavam	implantar	ver
implantação	implantação	nom
implantações	implantação	nom
implante	implante	nom
implantei	implantar	ver
implantem	implantar	ver
implantemos	implantar	ver
implantes	implante	nom
implanto	implantar	ver
implantou	implantar	ver
implantáveis	implantar	ver
implausíveis	implausível	adj
implausível	implausível	adj
implementa	implementar	ver
implementada	implementar	ver
implementadas	implementar	ver
implementado	implementar	ver
implementados	implementar	ver
implementam	implementar	ver
implementamos	implementar	ver
implementando	implementar	ver
implementar	implementar	ver
implementaram	implementar	ver
implementarei	implementar	ver
implementarem	implementar	ver
implementaria	implementar	ver
implementariam	implementar	ver
implementarmos	implementar	ver
implementará	implementar	ver
implementas	implementar	ver
implementasse	implementar	ver
implementassem	implementar	ver
implementava	implementar	ver
implementavam	implementar	ver
implementação	implementação	nom
implementações	implementação	nom
implemente	implementar	ver
implementei	implementar	ver
implementem	implementar	ver
implemento	implemento	nom
implementos	implemento	nom
implementou	implementar	ver
implementável	implementável	adj
implica	implicar	ver
implicada	implicar	ver
implicadas	implicado	adj
implicado	implicar	ver
implicados	implicado	nom
implicam	implicar	ver
implicando	implicar	ver
implicante	implicante	adj
implicantes	implicante	adj
implicar	implicar	ver
implicara	implicar	ver
implicaram	implicar	ver
implicarem	implicar	ver
implicaria	implicar	ver
implicariam	implicar	ver
implicará	implicar	ver
implicarão	implicar	ver
implicasse	implicar	ver
implicassem	implicar	ver
implicativa	implicativo	adj
implicativo	implicativo	adj
implicativos	implicativo	adj
implicava	implicar	ver
implicavam	implicar	ver
implicação	implicação	nom
implicações	implicação	nom
implicita	implícito	adj
implicitamente	implicitamente	adv
implicito	implícito	adj
implico	implicar	ver
implicou	implicar	ver
implicância	implicância	nom
implicâncias	implicância	nom
implique	implicar	ver
impliquei	implicar	ver
impliquem	implicar	ver
implora	implorar	ver
implorado	implorar	ver
imploram	implorar	ver
imploramos	implorar	ver
implorando	implorar	ver
implorar	implorar	ver
imploraram	implorar	ver
implorarem	implorar	ver
implorasse	implorar	ver
implorava	implorar	ver
imploravam	implorar	ver
implorações	imploração	nom
implore	implorar	ver
implorei	implorar	ver
imploro	implorar	ver
implorou	implorar	ver
implosiva	implosivo	adj
implosivas	implosivo	adj
implosivo	implosivo	adj
implosivos	implosivo	adj
implosão	implosão	nom
implosões	implosão	nom
implume	implume	adj
implumes	implume	adj
implícita	implícito	adj
implícitas	implícito	adj
implícito	implícito	adj
implícitos	implícito	adj
impo	impar	ver
impoluta	impoluto	adj
impoluto	impoluto	adj
impomos	impor	ver
imponderabilidade	imponderabilidade	nom
imponderáveis	imponderável	nom
imponderável	imponderável	nom
impondo	impor	ver
imponente	imponente	adj
imponentemente	imponentemente	adv
imponentes	imponente	adj
imponentíssima	imponente	adj
imponha	impor	ver
imponham	impor	ver
imponho	impor	ver
imponto	impontar	ver
impontualidade	impontualidade	nom
imponência	imponência	nom
imponíveis	imponível	adj
imponível	imponível	adj
impopular	impopular	adj
impopulares	impopular	adj
impopularidade	impopularidade	nom
impor	impor	ver
imporem	impor	ver
imporia	impor	ver
imporiam	impor	ver
importa	importar	ver
importada	importar	ver
importadas	importar	ver
importado	importar	ver
importador	importador	nom
importadora	importador	nom
importadoras	importador	nom
importadores	importador	nom
importados	importar	ver
importam	importar	ver
importamos	importar	ver
importando	importar	ver
importante	importante	adj
importantes	importante	adj
importantíssima	importante	adj
importantíssimas	importante	adj
importantíssimo	importante	adj
importantíssimos	importante	adj
importar	importar	ver
importaram	importar	ver
importarei	importar	ver
importarem	importar	ver
importaremos	importar	ver
importares	importar	ver
importaria	importar	ver
importariam	importar	ver
importarmos	importar	ver
importará	importar	ver
importarão	importar	ver
importas	importar	ver
importasse	importar	ver
importassem	importar	ver
importava	importar	ver
importavam	importar	ver
importação	importação	nom
importações	importação	nom
importe	importar	ver
importei	importar	ver
importem	importar	ver
importes	importar	ver
importo	importar	ver
importou	importar	ver
importuna	importunar	ver
importunada	importunar	ver
importunadas	importunado	adj
importunado	importunar	ver
importunados	importunar	ver
importunam	importunar	ver
importunando	importunar	ver
importunar	importunar	ver
importunaram	importunar	ver
importunassem	importunar	ver
importunava	importunar	ver
importunação	importunação	nom
importune	importunar	ver
importuno	importuno	adj
importunos	importuno	nom
importunou	importunar	ver
importávamos	importar	ver
importância	importância	nom
importâncias	importância	nom
imporá	impor	ver
imporão	impor	ver
impositiva	impositivo	adj
impositivas	impositivo	adj
impositivo	impositivo	adj
impositivos	impositivo	adj
imposição	imposição	nom
imposições	imposição	nom
impossibilidade	impossibilidade	nom
impossibilidades	impossibilidade	nom
impossibilita	impossibilitar	ver
impossibilitada	impossibilitar	ver
impossibilitadas	impossibilitar	ver
impossibilitado	impossibilitar	ver
impossibilitados	impossibilitar	ver
impossibilitam	impossibilitar	ver
impossibilitando	impossibilitar	ver
impossibilitar	impossibilitar	ver
impossibilitaram	impossibilitar	ver
impossibilitarem	impossibilitar	ver
impossibilitaria	impossibilitar	ver
impossibilitariam	impossibilitar	ver
impossibilitará	impossibilitar	ver
impossibilitarão	impossibilitar	ver
impossibilitasse	impossibilitar	ver
impossibilitassem	impossibilitar	ver
impossibilitava	impossibilitar	ver
impossibilitavam	impossibilitar	ver
impossibilite	impossibilitar	ver
impossibilitem	impossibilitar	ver
impossibilitou	impossibilitar	ver
impossivelmente	impossivelmente	adv
impossíveis	impossível	adj
impossível	impossível	adj
imposta	imposto	adj
impostada	impostar	ver
impostado	impostar	ver
impostar	impostar	ver
impostas	imposto	adj
impostação	impostação	nom
imposte	impostar	ver
impostes	impostar	ver
imposto	imposto	nom
impostor	impostor	nom
impostora	impostor	nom
impostoras	impostor	nom
impostores	impostor	adj
impostos	imposto	nom
impostura	impostura	nom
imposturas	imposturar	ver
imposture	imposturar	ver
impostures	imposturar	ver
impotente	impotente	adj
impotentes	impotente	adj
impotência	impotência	nom
impotências	impotência	nom
impraticabilidade	impraticabilidade	nom
impraticáveis	impraticável	adj
impraticável	impraticável	adj
imprecauções	imprecaução	nom
imprecação	imprecação	nom
imprecações	imprecação	nom
imprecisa	impreciso	adj
imprecisamente	imprecisamente	adv
imprecisas	impreciso	adj
impreciso	impreciso	adj
imprecisos	impreciso	adj
imprecisão	imprecisão	nom
imprecisões	imprecisão	nom
impregna	impregnar	ver
impregnada	impregnar	ver
impregnadas	impregnado	adj
impregnado	impregnar	ver
impregnados	impregnado	adj
impregnam	impregnar	ver
impregnando	impregnar	ver
impregnar	impregnar	ver
impregnaram	impregnar	ver
impregnava	impregnar	ver
impregnação	impregnação	nom
impregne	impregnar	ver
impregnou	impregnar	ver
imprensa	imprensa	nom
imprensada	imprensar	ver
imprensado	imprensar	ver
imprensando	imprensar	ver
imprensas	imprensa	nom
imprescindibilidade	imprescindibilidade	nom
imprescindíveis	imprescindível	adj
imprescindível	imprescindível	adj
imprescritibilidade	imprescritibilidade	nom
imprescritíveis	imprescritível	adj
imprescritível	imprescritível	adj
impressa	impresso	adj
impressas	impresso	adj
impressiona	impressionar	ver
impressionada	impressionado	adj
impressionadas	impressionado	adj
impressionado	impressionado	adj
impressionados	impressionado	adj
impressionadíssimo	impressionado	adj
impressionam	impressionar	ver
impressionamos	impressionar	ver
impressionando	impressionar	ver
impressionante	impressionante	adj
impressionantemente	impressionantemente	adv
impressionantes	impressionante	adj
impressionar	impressionar	ver
impressionara	impressionar	ver
impressionaram	impressionar	ver
impressionarem	impressionar	ver
impressionaria	impressionar	ver
impressionará	impressionar	ver
impressionasse	impressionar	ver
impressionava	impressionar	ver
impressionavam	impressionar	ver
impressione	impressionar	ver
impressionem	impressionar	ver
impressionismo	impressionismo	nom
impressionista	impressionista	adj
impressionistas	impressionista	nom
impressiono	impressionar	ver
impressionou	impressionar	ver
impressionáveis	impressionável	adj
impressionável	impressionável	adj
impressiva	impressivo	adj
impressivo	impressivo	adj
impressivos	impressivo	adj
impresso	impresso	adj
impressor	impressor	nom
impressora	impressora	nom
impressoras	impressora	nom
impressores	impressor	nom
impressos	impresso	adj
impressão	impressão	nom
impressões	impressão	nom
imprestáveis	imprestável	adj
imprestável	imprestável	adj
impreterivelmente	impreterivelmente	adv
impreterível	impreterível	adj
imprevidente	imprevidente	nom
imprevidência	imprevidência	nom
imprevisibilidade	imprevisibilidade	nom
imprevisibilidades	imprevisibilidade	nom
imprevista	imprevisto	adj
imprevistamente	imprevistamente	adv
imprevistas	imprevisto	adj
imprevisto	imprevisto	adj
imprevistos	imprevisto	adj
imprevisão	imprevisão	nom
imprevisíveis	imprevisível	adj
imprevisível	imprevisível	adj
imprima	imprimir	ver
imprimam	imprimar	ver
imprimação	imprimação	nom
imprime	imprimir	ver
imprimem	imprimir	ver
imprimi	imprimir	ver
imprimia	imprimir	ver
imprimiam	imprimir	ver
imprimida	imprimir	ver
imprimidas	imprimir	ver
imprimido	imprimir	ver
imprimidos	imprimir	ver
imprimindo	imprimir	ver
imprimir	imprimir	ver
imprimira	imprimir	ver
imprimiram	imprimir	ver
imprimirem	imprimir	ver
imprimiria	imprimir	ver
imprimirá	imprimir	ver
imprimis	imprimir	ver
imprimisse	imprimir	ver
imprimissem	imprimir	ver
imprimiu	imprimir	ver
imprimíveis	imprimível	adj
imprimível	imprimível	adj
improba	improbar	ver
improbabilidade	improbabilidade	nom
improbabilidades	improbabilidade	nom
improbidade	improbidade	nom
improcedente	improcedente	adj
improcedentes	improcedente	adj
improcedência	improcedência	nom
improdutiva	improdutivo	adj
improdutivas	improdutivo	adj
improdutividade	improdutividade	nom
improdutivo	improdutivo	adj
improdutivos	improdutivo	adj
impromptu	impromptu	nom
impronunciado	impronunciar	ver
impronunciáveis	impronunciável	adj
impronunciável	impronunciável	adj
impronúncia	impronúncia	nom
impropria	impropriar	ver
impropriamente	impropriamente	adv
improprias	impropriar	ver
impropriedade	impropriedade	nom
impropriedades	impropriedade	nom
improprio	impropriar	ver
impropério	impropério	nom
impropérios	impropério	nom
improrrogáveis	improrrogável	adj
improrrogável	improrrogável	adj
improvadas	improvar	ver
improve	improvar	ver
improves	improvar	ver
improvisa	improvisar	ver
improvisada	improvisado	adj
improvisadas	improvisar	ver
improvisado	improvisado	adj
improvisador	improvisador	nom
improvisadora	improvisador	adj
improvisadores	improvisador	nom
improvisados	improvisado	adj
improvisam	improvisar	ver
improvisamente	improvisamente	adv
improvisando	improvisar	ver
improvisar	improvisar	ver
improvisara	improvisar	ver
improvisaram	improvisar	ver
improvisasse	improvisar	ver
improvisassem	improvisar	ver
improvisava	improvisar	ver
improvisavam	improvisar	ver
improvisação	improvisação	nom
improvisações	improvisação	nom
improvise	improvisar	ver
improvisei	improvisar	ver
improviso	improviso	nom
improvisos	improviso	nom
improvisou	improvisar	ver
improváveis	improvável	adj
improvável	improvável	adj
imprudente	imprudente	adj
imprudentemente	imprudentemente	adv
imprudentes	imprudente	adj
imprudência	imprudência	nom
imprudências	imprudência	nom
imprópria	impróprio	adj
impróprias	impróprio	adj
impróprio	impróprio	adj
impróprios	impróprio	adj
impublicáveis	impublicável	adj
impublicável	impublicável	adj
impudentemente	impudentemente	adv
impudica	impudico	adj
impudico	impudico	adj
impudor	impudor	nom
impugna	impugnar	ver
impugnada	impugnar	ver
impugnadas	impugnar	ver
impugnado	impugnar	ver
impugnador	impugnador	nom
impugnados	impugnar	ver
impugnando	impugnar	ver
impugnar	impugnar	ver
impugnaram	impugnar	ver
impugnarei	impugnar	ver
impugnarem	impugnar	ver
impugnaria	impugnar	ver
impugnação	impugnação	nom
impugnações	impugnação	nom
impugne	impugnar	ver
impugnei	impugnar	ver
impugno	impugnar	ver
impugnou	impugnar	ver
impugnável	impugnável	adj
impulsa	impulsar	ver
impulsada	impulsar	ver
impulsado	impulsar	ver
impulsam	impulsar	ver
impulsando	impulsar	ver
impulsar	impulsar	ver
impulse	impulsar	ver
impulses	impulsar	ver
impulsiona	impulsionar	ver
impulsionada	impulsionar	ver
impulsionadas	impulsionar	ver
impulsionado	impulsionar	ver
impulsionador	impulsionador	nom
impulsionadora	impulsionador	nom
impulsionadoras	impulsionador	adj
impulsionadores	impulsionador	nom
impulsionados	impulsionar	ver
impulsionam	impulsionar	ver
impulsionando	impulsionar	ver
impulsionar	impulsionar	ver
impulsionara	impulsionar	ver
impulsionaram	impulsionar	ver
impulsionaria	impulsionar	ver
impulsionariam	impulsionar	ver
impulsionarmos	impulsionar	ver
impulsionará	impulsionar	ver
impulsionasse	impulsionar	ver
impulsionassem	impulsionar	ver
impulsionava	impulsionar	ver
impulsionavam	impulsionar	ver
impulsione	impulsionar	ver
impulsionou	impulsionar	ver
impulsiva	impulsivo	adj
impulsivamente	impulsivamente	adv
impulsivas	impulsivo	adj
impulsividade	impulsividade	nom
impulsivo	impulsivo	nom
impulsivos	impulsivo	adj
impulso	impulso	nom
impulsor	impulsor	nom
impulsora	impulsor	adj
impulsoras	impulsor	adj
impulsores	impulsor	nom
impulsos	impulso	nom
impulsou	impulsar	ver
impulsão	impulsão	nom
impulsões	impulsão	nom
impune	impune	adj
impunemente	impunemente	adv
impunes	impune	adj
impunha	impor	ver
impunham	impor	ver
impunidade	impunidade	nom
impunidades	impunidade	nom
impura	impuro	adj
impuras	impuro	adj
impureza	impureza	nom
impurezas	impureza	nom
impuro	impuro	adj
impuros	impuro	adj
impus	impor	ver
impusemos	impor	ver
impuser	impor	ver
impusera	impor	ver
impuseram	impor	ver
impuserem	impor	ver
impusesse	impor	ver
impusessem	impor	ver
imputa	imputar	ver
imputabilidade	imputabilidade	nom
imputada	imputar	ver
imputadas	imputado	adj
imputado	imputar	ver
imputados	imputado	adj
imputam	imputar	ver
imputando	imputar	ver
imputar	imputar	ver
imputaram	imputar	ver
imputaria	imputar	ver
imputava	imputar	ver
imputavam	imputar	ver
imputação	imputação	nom
imputações	imputação	nom
impute	imputar	ver
imputou	imputar	ver
imputrescível	imputrescível	adj
imputáveis	imputável	adj
imputável	imputável	adj
impávida	impávido	adj
impávido	impávido	adj
impávidos	impávido	adj
império	império	nom
impérios	império	nom
impôs	impor	ver
impõe	impor	ver
impõem	impor	ver
impões	impor	ver
impúbere	impúbere	adj
imunda	imundo	adj
imundas	imundo	adj
imundice	imundice	nom
imundices	imundice	nom
imundo	imundo	adj
imundos	imundo	adj
imundícia	imundícia	nom
imundícias	imundícia	nom
imundície	imundície	nom
imundícies	imundície	nom
imune	imune	adj
imunes	imune	adj
imunidade	imunidade	nom
imunidades	imunidade	nom
imunitária	imunitário	adj
imunitárias	imunitário	adj
imunitário	imunitário	adj
imuniza	imunizar	ver
imunizada	imunizar	ver
imunizadas	imunizar	ver
imunizado	imunizado	adj
imunizados	imunizado	adj
imunizando	imunizar	ver
imunizar	imunizar	ver
imunização	imunização	nom
imunizações	imunização	nom
imunizou	imunizar	ver
imunodeficiência	imunodeficiência	nom
imunodeficiências	imunodeficiência	nom
imunodepressores	imunodepressor	adj
imunodepressão	imunodepressão	nom
imunoglobulina	imunoglobulina	nom
imunoglobulinas	imunoglobulina	nom
imunológica	imunológico	adj
imunológicas	imunológico	adj
imunológico	imunológico	adj
imunológicos	imunológico	adj
imunossupressor	imunossupressor	adj
imunossupressora	imunossupressor	adj
imunossupressoras	imunossupressor	adj
imunossupressores	imunossupressor	adj
imunossupressão	imunossupressão	nom
imutabilidade	imutabilidade	nom
imutavelmente	imutavelmente	adv
imutáveis	imutável	adj
imutável	imutável	adj
imã	imã	nom
imãs	imã	nom
imóveis	imóvel	adj
imóvel	imóvel	adj
in	in	pre
inabaláveis	inabalável	adj
inabalável	inabalável	adj
inabilidade	inabilidade	nom
inabilidades	inabilidade	nom
inabilitadas	inabilitar	ver
inabilitado	inabilitar	ver
inabilitados	inabilitar	ver
inabilitar	inabilitar	ver
inabilitação	inabilitação	nom
inabilitou	inabilitar	ver
inabitada	inabitado	adj
inabitadas	inabitado	adj
inabitado	inabitado	adj
inabitados	inabitado	adj
inabitual	inabitual	adj
inabitáveis	inabitável	adj
inabitável	inabitável	adj
inabordável	inabordável	adj
inacabada	inacabado	adj
inacabadas	inacabado	adj
inacabado	inacabado	adj
inacabados	inacabado	adj
inacabáveis	inacabável	adj
inacabável	inacabável	adj
inaccessível	inaccessível	adj
inaceitavelmente	inaceitavelmente	adv
inaceitáveis	inaceitável	adj
inaceitável	inaceitável	adj
inacessibilidade	inacessibilidade	nom
inacessíveis	inacessível	adj
inacessível	inacessível	adj
inaciana	inaciano	adj
inacianas	inaciano	adj
inaciano	inaciano	adj
inacianos	inaciano	adj
inacreditavelmente	inacreditavelmente	adv
inacreditáveis	inacreditável	adj
inacreditável	inacreditável	adj
inactiva	inactivo	adj
inactivada	inactivar	ver
inactivado	inactivar	ver
inactivados	inactivar	ver
inactivam	inactivar	ver
inactivando	inactivar	ver
inactivar	inactivar	ver
inactivas	inactivo	adj
inactivação	inactivação	nom
inactive	inactivar	ver
inactividade	inactividade	nom
inactivo	inactivo	adj
inactivos	inactivo	adj
inacção	inacção	nom
inadaptadas	inadaptar	ver
inadaptado	inadaptar	ver
inadaptados	inadaptado	adj
inadaptação	inadaptação	nom
inadaptável	inadaptável	adj
inadequada	inadequado	adj
inadequadamente	inadequadamente	adv
inadequadas	inadequado	adj
inadequado	inadequado	adj
inadequados	inadequado	adj
inadequação	inadequação	nom
inadequações	inadequação	nom
inadimplemento	inadimplemento	nom
inadimplente	inadimplente	adj
inadimplentes	inadimplente	adj
inadimplência	inadimplência	nom
inadimplências	inadimplência	nom
inadiáveis	inadiável	adj
inadiável	inadiável	adj
inadmissibilidade	inadmissibilidade	nom
inadmissão	inadmissão	nom
inadmissíveis	inadmissível	adj
inadmissível	inadmissível	adj
inadvertida	inadvertido	adj
inadvertidamente	inadvertidamente	adv
inadvertidas	inadvertido	adj
inadvertido	inadvertido	adj
inadvertidos	inadvertido	adj
inadvertência	inadvertência	nom
inafiançáveis	inafiançável	adj
inafiançável	inafiançável	adj
inala	inalar	ver
inalada	inalar	ver
inaladas	inalar	ver
inalado	inalar	ver
inalador	inalador	nom
inaladores	inalador	nom
inalados	inalar	ver
inalam	inalar	ver
inalando	inalar	ver
inalante	inalante	adj
inalantes	inalante	adj
inalar	inalar	ver
inalaram	inalar	ver
inalarem	inalar	ver
inalavam	inalar	ver
inalação	inalação	nom
inalações	inalação	nom
inalcançáveis	inalcançável	adj
inalcançável	inalcançável	adj
inale	inalar	ver
inalienabilidade	inalienabilidade	nom
inalienáveis	inalienável	adj
inalienável	inalienável	adj
inalou	inalar	ver
inalterabilidade	inalterabilidade	nom
inalterada	inalterado	adj
inalteradas	inalterado	adj
inalterado	inalterado	adj
inalterados	inalterado	adj
inalteráveis	inalterável	adj
inalterável	inalterável	adj
inaláveis	inalar	ver
inambu	inambu	nom
inamistosa	inamistoso	adj
inamovíveis	inamovível	adj
inamovível	inamovível	adj
inana	inanir	ver
inanas	inanir	ver
inane	inanir	ver
inani	inanir	ver
inania	inanir	ver
inanidade	inanidade	nom
inanimada	inanimado	adj
inanimadas	inanimado	adj
inanimado	inanimado	adj
inanimados	inanimado	adj
inanis	inanir	ver
inanição	inanição	nom
inano	inanir	ver
inaparentes	inaparente	adj
inapelavelmente	inapelavelmente	adv
inapeláveis	inapelável	adj
inapelável	inapelável	adj
inapetência	inapetência	nom
inaplicabilidade	inaplicabilidade	nom
inaplicáveis	inaplicável	adj
inaplicável	inaplicável	adj
inapreensível	inapreensível	adj
inapropriada	inapropriado	adj
inapropriadamente	inapropriadamente	adv
inapropriadas	inapropriado	adj
inapropriado	inapropriado	adj
